source_id,company_id,title,publisher,source_type,url,local_path,published_at,retrieved_at,evidence_tier,verification_status,notes
MSFT_SEC_FACTS,MSFT,SEC Companyfacts - Microsoft,SEC,regulatory_json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json,raw/sec/MSFT_companyfacts.json,2026-04-29,2026-07-17,primary,verified,Quarterly GAAP facts
MSFT_IR_Q3_RELEASE,MSFT,Microsoft FY2026 Q3 results,Microsoft,company_ir,https://www.microsoft.com/en-us/investor/earnings/FY-2026-Q3/press-release-webcast,raw/ir/MSFT/msft_fy26q3_press_release_webcast.html,2026-04-29,2026-07-17,primary,verified,Actuals segments and guidance
MSFT_IR_Q3_TRANSCRIPT,MSFT,Microsoft FY2026 Q3 earnings call transcript,Microsoft,company_ir_transcript,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q3,raw/ir/MSFT/msft_fy26q3_earnings_call.html,2026-04-29,2026-07-17,primary,verified,Official full transcript page
MSFT_CAPITAL_PRE_20260429,MSFT,Microsoft pre-earnings consensus snapshot,Capital.com,dated_market_preview,https://capital.com/en-int/market-updates/microsoft-stock-forecast-04-05-2026,processed/MSFT_capital_pre_earnings_2026-04-29.txt,2026-04-29,2026-07-17,secondary_dated,verified,Bloomberg estimates and Public.com target/count
MSFT_HENRY_20260422,MSFT,Henry Fund Microsoft report,Henry Fund,student_equity_research,https://henryfund.tippie.uiowa.edu/sites/henryfund.tippie.uiowa.edu/files/2026-04/MSFT-S26.pdf,raw/research/MSFT/msft_henry_fund_2026-04-22.pdf,2026-04-22,2026-07-17,secondary_dated,verified,Event-date peer multiples and target test vector
MSFT_STOCKANALYSIS_POST,MSFT,Microsoft analyst forecast snapshot,StockAnalysis,market_snapshot,https://stockanalysis.com/stocks/msft/statistics/,processed/MSFT_stockanalysis_statistics_2026-07-17.txt,2026-07-17,2026-07-17,secondary_snapshot,verified,Post-event consensus ground truth
MSFT_YAHOO_PRE,MSFT,MSFT pre-event close,Yahoo Finance,market_data,https://query1.finance.yahoo.com/v8/finance/chart/MSFT,raw/market_prices/MSFT_yahoo_chart_2026-04-27_2026-05-02.json,2026-04-28,2026-07-17,market_data,verified,Pre-event close
MSFT_YAHOO_POST,MSFT,MSFT post-event close,Yahoo Finance,market_data,https://query1.finance.yahoo.com/v8/finance/chart/MSFT,raw/market_prices/MSFT_yahoo_chart_2026-04-27_2026-05-02.json,2026-04-30,2026-07-17,market_data,verified,Post-event close
MSFT_ZACKS_HISTORY,MSFT,Microsoft detailed earnings estimates,Zacks,estimate_history,https://www.zacks.com/stock/quote/MSFT/detailed-earning-estimates,,2026-04-29,2026-07-17,secondary_history_remote,verified,Historical EPS forecast and actual series
MSFT_IR_Q1_EVENT,MSFT,Microsoft FY2026 Q1 earnings call,Microsoft,company_ir,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q1,,2025-10-29,2026-07-17,primary_remote,verified,FY2026 Q2 management guidance source
MSFT_IR_Q2_EVENT,MSFT,Microsoft FY2026 Q2 earnings call,Microsoft,company_ir,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q2,,2026-01-28,2026-07-17,primary_remote,verified,FY2026 Q2 actual and Q3 guidance source
AMZN_IR_Q1_RELEASE,AMZN,Amazon Q1 2026 earnings release,Amazon,company_ir_pdf,https://s2.q4cdn.com/299287126/files/doc_earnings/2026/q1/earnings-result/AMZN-Q1-2026-Earnings-Release.pdf,raw/research/AMZN/amzn_q1_2026_earnings_release.pdf,2026-04-29,2026-07-17,primary,verified,Actuals segments and guidance
AMZN_IR_Q1_SLIDES,AMZN,Amazon Q1 2026 webcast slides,Amazon,company_ir_pdf,https://s2.q4cdn.com/299287126/files/doc_earnings/2026/q1/presentation/Webslides_Q126.pdf,raw/research/AMZN/amzn_q1_2026_webcast_slides.pdf,2026-04-29,2026-07-17,primary,verified,Official presentation corpus
AMZN_CAPITAL_PRE_20260429,AMZN,Amazon pre-earnings consensus snapshot,Capital.com,dated_market_preview,https://capital.com/en-int/market-updates/amazon-stock-forecast-04-05-2026,processed/AMZN_capital_pre_earnings_2026-04-29.txt,2026-04-29,2026-07-17,secondary_dated,verified,Revenue EPS AWS and target/count estimates
AMZN_SP_PRE_20260423,AMZN,Amazon Q1 2026 earnings preview,S&P Global Market Intelligence,dated_market_preview,https://www.spglobal.com/market-intelligence/en/news-insights/research/2026/04/amazon-earnings-preview-q1-2026,,2026-04-23,2026-07-17,secondary_dated_remote,verified,Remote-only due HTTP 403 on archival download
AMZN_STOCKANALYSIS_POST,AMZN,Amazon analyst forecast snapshot,StockAnalysis,market_snapshot,https://stockanalysis.com/stocks/amzn/statistics/,processed/AMZN_stockanalysis_statistics_2026-07-17.txt,2026-07-17,2026-07-17,secondary_snapshot,verified,Post-event consensus ground truth
AMZN_YAHOO_PRE,AMZN,AMZN pre-event close,Yahoo Finance,market_data,https://query1.finance.yahoo.com/v8/finance/chart/AMZN,raw/market_prices/AMZN_yahoo_chart_2026-04-27_2026-05-02.json,2026-04-29,2026-07-17,market_data,verified,Pre-event close
AMZN_YAHOO_POST,AMZN,AMZN post-event close,Yahoo Finance,market_data,https://query1.finance.yahoo.com/v8/finance/chart/AMZN,raw/market_prices/AMZN_yahoo_chart_2026-04-27_2026-05-02.json,2026-04-30,2026-07-17,market_data,verified,Post-event close
AMZN_IR_Q3_2025,AMZN,Amazon Q3 2025 results and Q4 guidance,Amazon,company_ir,https://ir.aboutamazon.com/news-release/news-release-details/2025/Amazon-com-Announces-Third-Quarter-Results/,,2025-10-30,2026-07-17,primary_remote,verified,FY2025 Q4 guidance source
AMZN_IR_Q4_2025,AMZN,Amazon Q4 2025 results and Q1 guidance,Amazon,company_ir,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Fourth-Quarter-Results/,,2026-02-04,2026-07-17,primary_remote,verified,FY2025 Q4 actual and FY2026 Q1 guidance source
AMZN_ZACKS_Q1_PRE,AMZN,Amazon Q1 2026 earnings preview,Zacks,dated_market_preview,https://www.zacks.com/stock/news/2905495/amazon-amzn-earnings-expected-to-grow-what-to-know-ahead-of-next-weeks-release,,2026-04-22,2026-07-17,secondary_dated_remote,verified,Adjusted EPS and revenue forecast history
AMZN_ZACKS_Q1_POST,AMZN,Amazon Q1 2026 adjusted earnings result,Zacks,dated_result,https://www.zacks.com/stock/news/2911220/amazon-amzn-q1-earnings-lag-estimates,,2026-04-29,2026-07-17,secondary_dated_remote,verified,Adjusted EPS actual for like-for-like history
PTT_OFFICIAL_FIN_20260514,PTT,PTT 1Q2026 financial statements,PTT,company_filing,https://core.shareinvestor.app/storage/downloads/ptt/financials/0646FIN140520261713230242E.zip,raw/ir/PTT/files/ptt_1q2026_financials_all.zip,2026-05-14,2026-07-17,primary,verified,Official workbook and notes
PTT_IR_CALL_20260520,PTT,PTT 1Q2026 performance conference call,PTT,company_ir_presentation,https://investor.pttplc.com/en/downloads/presentations-webcasts,processed/PTT_1Q2026_performance_call.txt,2026-05-20,2026-07-17,primary,verified,Core bridge segments and drivers
PTT_KS_PRE_20260511,PTT,Kasikorn Securities PTT 1Q2026 preview,Kasikorn Securities,broker_preview,https://www.kasikornsecurities.com/th/research/thai-stocks/company-analysis/research-20260508-623,raw/research/PTT/ptt_kasikorn_preview_2026-05-11.html,2026-05-11,2026-07-17,broker_dated,verified,Net/core forecasts and THB37.20 Hold; page EPS excluded as inconsistent
PTT_INVX_PRE_20260507,PTT,InnovestX PTT 1Q2026 preview,InnovestX,broker_preview,https://www.innovestx.co.th/cafeinvest/research/company-analysis/company-update/ptt-update-20260507,raw/research/PTT/ptt_innovestx_preview_2026-05-07.pdf,2026-05-07,2026-07-17,broker_dated,verified,PIT peer table SOTP target and earnings preview
PTT_GLOBLEX_POST_20260514,PTT,Globlex PTT 1Q2026 results,Globlex Securities,broker_result,https://www.globlex.co.th/research/research_34817_1_20260514%20PTT_R_EN.pdf,raw/research/PTT/ptt_globlex_results_2026-05-14.pdf,2026-05-14,2026-07-17,broker_dated,verified,Actual core profit drivers Buy and THB45 target
PTT_UOB_PRE_20251106,PTT,UOB Kay Hian PTT 3Q2025 preview,UOB Kay Hian,broker_preview,https://www.utrade.co.th/content/uploads/research/638980144695177538251106_PTT_TB_Update_T.pdf,raw/research/PTT/ptt_uobkh_3q25_preview_2025-11-06.pdf,2025-11-06,2026-07-17,broker_dated,verified,Forecast history
PTT_TRUEID_PRE_20260206,PTT,PTT 4Q2025 broker preview summary,TrueID and Thunhoon,news_broker_summary,https://news.trueid.net/detail/78mXWBjram3z,raw/research/PTT/ptt_4q25_preview_trueid_2026-02-06.html,2026-02-06,2026-07-17,secondary_dated,verified,Krungsri net/core estimates
PTT_GLOBLEX_POST_20260219,PTT,Globlex PTT 4Q2025 results,Globlex Securities,broker_result,https://www.globlex.co.th/research/research_32964_1_20260219%20PTT_R_EN.pdf,raw/research/PTT/ptt_globlex_results_2026-02-19.pdf,2026-02-19,2026-07-17,broker_dated,verified,4Q25 actual net/core profit
PTT_YAHOO_PRE,PTT,PTT.BK pre-analyst-meeting close,Yahoo Finance,market_data,https://query1.finance.yahoo.com/v8/finance/chart/PTT.BK,raw/market_prices/PTT.BK_yahoo_chart_2026-05-15_2026-05-25.json,2026-05-19,2026-07-17,market_data,verified,Pre-event close
PTT_YAHOO_POST,PTT,PTT.BK post-analyst-meeting close,Yahoo Finance,market_data,https://query1.finance.yahoo.com/v8/finance/chart/PTT.BK,raw/market_prices/PTT.BK_yahoo_chart_2026-05-15_2026-05-25.json,2026-05-21,2026-07-17,market_data,verified,Post-event close
